block_code,division_code
F035A,DBE005
F036A,DBE005
F037A,DBE005
F038A,DBE005
F039A,DBE005
F040A,DBE005
F041A,DBE005
F042A,DBE005
F043A,DBE005
F044A,DBE005
F045A,DBE005
