id,estate_id,block_code,block_code_new,year_planted,seed_variety,area_ha
172,1,B 22,AME,2013.0,Topaz,12.92
173,1,A 19B,AME,2017.0,Socfin,3.0
174,1,A 19C,AME,2019.0,Socfin,2.7
175,1,C 13,AME,2013.0,Topaz,29.700000000000003
176,1,C 15,AME,2013.0,Topaz,28.9
177,1,A 20B,AME,2017.0,Socfin,6.7
178,1,C 16,AME,2013.0,Topaz,28.700000000000003
179,1,A 20C,AME,2019.0,Socfin,1.8
180,1,C 17,AME,2013.0,Topaz,26.9
181,1,C 18B,AME,2015.0,PPKS/Lonsum,3.0
182,1,A 21B,AME,2017.0,Socfin,5.0
183,1,B 12,AME,2016.0,Topaz,26.000000000000004
184,1,B 12B,AME,2018.0,Lonsum,3.5
185,1,B 12C,AME,2019.0,PPKS,0.4
186,1,B 13,AME,2016.0,Topaz,25.2
187,1,B 13B,AME,2018.0,Lonsum,2.4
188,1,B 15B,AME,2017.0,Socfin,1.6
189,1,B 14B,AME,2018.0,Lonsum,5.1
190,1,B 16B,AME,2017.0,Socfin,1.0
191,1,B 14C,AME,2019.0,SAINS,14.3
192,1,B 14D,AME,2020.0,SRIWIJAYA,0.6
193,1,B 21B,AME,2017.0,PPKS,1.4
194,1,B 14E,AME,2021.0,SRIWIJAYA,6.9
195,1,B 15C,AME,2021.0,SRIWIJAYA,3.3
196,1,B 23,AME,2025.0,0,
197,1,B 16C,AME,2018.0,Lonsum,0.5
198,1,B 17B,AME,2018.0,Lonsum,4.2
199,1,B 16D,AME,2019.0,Lonsum,0.1
200,1,B 16E,AME,2021.0,SRIWIJAYA,2.1
201,1,B 17C,AME,2019.0,Lonsum,0.5
202,1,B 17D,AME,2021.0,SRIWIJAYA,0.1
203,1,B 24,AME,2021.0,SRIWIJAYA,0.6
204,5,G 05,OLE,2008.0,Socfindo,23.4
205,5,G 06,OLE,2008.0,Socfindo,23.7
206,5,G 07,OLE,2008.0,Socfindo,22.1
207,5,G 08,OLE,2008.0,Socfindo,22.2
208,5,G 01,OLE,2009.0,Socfindo,8.2
209,5,G 09,OLE,2009.0,Socfindo,24.2
210,5,G 10,OLE,2009.0,Socfindo,28.0
211,5,G 02,OLE,2011.0,Socfindo,10.7
212,5,G 11,OLE,2009.0,Socfindo,19.9
213,5,G 03,OLE,2011.0,Socfindo,2.4
214,5,G 12,OLE,2009.0,Socfindo,15.2
215,5,G 04,OLE,0.0,0,0.0
216,5,H 09,OLE,2009.0,Socfindo,35.1
217,5,H 10,OLE,2009.0,Socfindo,23.7
218,5,H 05,OLE,2010.0,Socfindo,24.4
219,5,H 06,OLE,2010.0,Socfindo,19.3
220,5,H 11,OLE,2010.0,Socfindo,23.9
221,5,H 12,OLE,2010.0,Socfindo,18.7
222,5,I 12,OLE,2010.0,Socfindo,30.6
223,5,I 14,OLE,2010.0,Socfindo/Lonsum,28.1
224,5,I 15,OLE,2010.0,Socfindo,30.4
225,5,J 12,OLE,2010.0,Socfindo,28.7
226,5,J 13,OLE,2010.0,Socfindo,29.7
227,5,H 07,OLE,2011.0,Socfindo,16.6
228,5,J 14,OLE,2010.0,Socfindo,30.3
229,5,H 08,OLE,2011.0,Socfindo,10.2
230,5,J 15,OLE,2010.0,Socfindo,30.5
231,5,I 10,OLE,2013.0,Topaz,19.2
232,5,J 11,OLE,2011.0,Socfindo,10.4
233,5,I 11,OLE,2013.0,Topaz,31.1
234,5,K 12,OLE,2011.0,Socfindo,3.6
235,5,I 13,OLE,2013.0,Topaz,30.5
236,5,K 13,OLE,2013.0,Topaz,15.1
237,5,K 14,OLE,2013.0,Topaz,25.6
238,5,K 15,OLE,2013.0,Topaz,36.4
239,5,F 13,OLE,2009.0,Socfindo,24.6
240,5,F 14,OLE,2009.0,Socfindo,25.4
241,5,F 16,OLE,2009.0,Socfindo,24.7
242,5,G 13,OLE,2009.0,Socfindo,24.9
243,5,G 14,OLE,2009.0,Socfindo,24.9
244,5,G 15,OLE,2009.0,Socfindo,4.8
245,5,G 16A,OLE,2009.0,Dami Mas,7.699999999999999
246,5,G 17,OLE,2009.0,Socfindo,24.1
247,5,G 18,OLE,2009.0,Socfindo,24.9
248,5,F 15,OLE,2010.0,Socfindo,19.8
249,5,H 13,OLE,2009.0,Socfindo,36.5
250,5,H 14,OLE,2009.0,Socfindo,24.9
251,5,F 17,OLE,2010.0,Socfindo,22.3
252,5,H 15,OLE,2009.0,Socfindo,24.7
253,5,F 18,OLE,2010.0,Socfindo,23.8
254,5,H 17,OLE,2009.0,Socfindo,24.6
255,5,F 19,OLE,2010.0,Socfindo,23.8
256,5,H 18,OLE,2009.0,Socfindo,24.8
257,5,F 20,OLE,2010.0,Socfindo,23.9
258,5,H 19,OLE,2009.0,Socfindo,24.6
259,5,F 21,OLE,2010.0,Socfindo,28.7
260,5,F 22,OLE,2010.0,Socfindo,30.3
261,5,F 23,OLE,2013.0,Topaz,28.4
262,5,F 24,OLE,2013.0,Topaz,9.5
263,5,G 15B,OLE,2015.0,Topaz,0.5
264,5,G 19,OLE,2010.0,Socfindo,24.6
265,5,G 20,OLE,2010.0,Socfindo,24.9
266,5,G 16B,OLE,2015.0,Socfindo,0.2
267,5,H 16,OLE,2010.0,Socfindo,19.0
268,5,G 16C,OLE,2016.0,Topaz,1.3
269,5,H 20,OLE,2010.0,Socfindo,23.1
270,5,H 21,OLE,2010.0,Socfindo,23.0
271,5,H 22A,OLE,2011.0,Topaz,22.8
272,5,G 21,OLE,2014.0,Topaz/Lonsum,8.1
273,5,G 22,OLE,2013.0,Topaz/Lonsum,10.2
274,5,G 21B,OLE,2015.0,Topaz/Lonsum,3.1
275,5,G 23A,OLE,2013.0,Socfindo/Lonsum/Topas,27.7
276,5,H 22B,OLE,2013.0,Topaz,5.2
277,5,G 22B,OLE,2015.0,Topaz/Lonsum,3.6
278,5,H 23 A,OLE,2013.0,Topaz,11.3
279,5,G 23B,OLE,2016.0,Topaz/Socfind/Lonsum,4.7
280,5,G 23C,OLE,2019.0,Topaz/Socfind/Lonsum,0.9
281,5,G 23D,OLE,2020.0,SRIWIJAYA,0.3
282,5,H 23 B,OLE,2016.0,Socfindo,0.25
283,5,I 16,OLE,2010.0,Socfindo,29.9
284,5,I 17,OLE,2010.0,Socfindo,21.9
285,5,I 18,OLE,2010.0,Socfindo,37.4
286,5,I 19,OLE,2010.0,Socfindo,29.9
287,5,I 20,OLE,2010.0,Socfindo,29.7
288,5,I 21,OLE,2010.0,Socfindo,29.6
289,5,J 16,OLE,2010.0,Socfindo,29.8
290,5,J 17,OLE,2010.0,Socfindo,22.4
291,5,J 18,OLE,2010.0,Socfindo,37.9
292,5,J 19,OLE,2010.0,Socfindo,31.5
293,5,J 20,OLE,2010.0,Socfindo,30.9
294,5,L 22,OLE,2010.0,Socfindo,14.3
295,5,L 23,OLE,2010.0,Socfindo,19.0
296,5,I 23,OLE,2011.0,Socfindo,16.400000000000002
297,5,I 22A,OLE,2013.0,Topaz,25.4
298,5,I 22B,OLE,2017.0,Topaz/Socfin,6.7
299,5,J 22,OLE,2011.0,Socfindo,21.8
300,5,J 23,OLE,2011.0,Socfindo,28.5
301,5,I 23B,OLE,2017.0,Socfin,2.8
302,5,K 18,OLE,2011.0,Socfindo,38.900000000000006
303,5,K 16,OLE,2013.0,Topaz,35.8
304,5,K 17,OLE,2013.0,Topaz,26.2
305,5,K 19,OLE,2013.0,Topaz,27.300000000000004
306,5,K 20,OLE,2013.0,Topaz,12.7
307,5,K 23,OLE,2013.0,Topaz,8.4
308,5,J 21,OLE,2011.0,Socfindo,29.2
309,5,L 21,OLE,2013.0,Topaz,4.0
310,5,J 22B,OLE,2016.0,Topaz,3.694436193742
311,5,K 19 B,OLE,2017.0,Topaz,2.3000000000000003
312,5,K 20B,OLE,2017.0,Socfin,15.829592783
313,5,K 21,OLE,2017.0,Socfin,30.3
314,5,K 22,OLE,2017.0,Topaz/Socfin,31.200000000000003
315,5,K 23 B,OLE,2017.0,Topaz,21.7
316,5,L 20,OLE,2017.0,Socfin,6.199999999999999
317,5,L 21B,OLE,2017.0,Socfin,7.8
318,5,L 22B,OLE,2017.0,Socfin,8.23
319,5,L 23 B,OLE,2017.0,Topaz/Socfin,7.699999999999999
320,5,H 26,OLE,2010.0,Socfindo,29.7
321,5,L 24,OLE,2010.0,Socfindo,12.9
322,5,H 25A,OLE,2011.0,Socfindo,28.000000000000004
323,5,H 27,OLE,2011.0,Socfindo,29.2
324,5,H 28,OLE,2011.0,Socfindo,28.5
325,5,H 29,OLE,2011.0,Socfindo,29.2
326,5,H 30,OLE,2011.0,Socfindo,30.2
327,5,I 25,OLE,2011.0,Socfindo,28.1
328,5,I 26,OLE,2011.0,Socfindo,31.200000000000003
329,5,I 27,OLE,2011.0,Socfindo,29.7
330,5,H 24A,OLE,2013.0,Topaz,13.5
331,5,I 28,OLE,2011.0,Socfindo,29.6
332,5,H 24B,OLE,2016.0,Topaz,1.3
333,5,I 29,OLE,2011.0,Socfindo,29.0
334,5,I 30,OLE,2011.0,Socfindo,29.9
335,5,H 25B,OLE,2016.0,Topaz,0.3
336,5,J 24,OLE,2011.0,Socfindo,32.599999999999994
337,5,J 25,OLE,2011.0,Socfindo,26.4
338,5,J 26,OLE,2011.0,Socfindo,31.5
339,5,J 27,OLE,2011.0,Socfindo,30.5
340,5,K 24,OLE,2011.0,Socfindo,28.5
341,5,K 25,OLE,2011.0,Socfindo,23.7
342,5,I 24,OLE,2013.0,Topaz,18.7
343,5,I 24B,OLE,2017.0,Topaz,10.2
344,5,J 28,OLE,2013.0,Topaz,28.700000000000003
345,5,J 29,OLE,2013.0,Topaz,29.5
346,5,J 30,OLE,2013.0,Topaz,29.5
347,5,K 26,OLE,2013.0,Topaz,32.7
348,5,K 27,OLE,2013.0,Topaz,26.200000000000003
349,5,K 28,OLE,2013.0,Topaz,26.6
350,5,K 29,OLE,2013.0,Topaz,29.3
351,5,K 30,OLE,2013.0,Topaz,29.4
352,5,L 25,OLE,2013.0,Topaz/SRIWIJAYA,8.9
353,5,L 28,OLE,2013.0,Topaz,2.8000000000000003
354,5,L 29,OLE,2013.0,Topaz,12.9
355,5,L 30,OLE,2013.0,Topaz,23.8
356,5,K 24B,OLE,2017.0,Topaz,5.004105
357,5,L 24B,OLE,2017.0,Topaz,9.1
358,9,F 26,DBE,2011.0,Socfindo,28.2
359,9,F 32,DBE,2011.0,Socfindo,30.0
360,9,F 33,DBE,2011.0,Socfindo,27.7
361,9,G 25A,DBE,2011.0,Socfindo,22.9
362,9,G 26,DBE,2011.0,Socfindo,29.1
363,9,G 31,DBE,2011.0,Socfindo,32.3
364,9,E 26,DBE,2012.0,Topaz,17.2081
365,9,E 27A,DBE,2012.0,Topaz,24.6
366,9,F 25A,DBE,2012.0,Topaz,7.6
367,9,F 27,DBE,2012.0,Topaz,29.2
368,9,G 27,DBE,2012.0,Topaz,30.0
369,9,G 30,DBE,2012.0,Topaz,29.6
370,9,G 32,DBE,2012.0,Topaz,30.5
371,9,G 33,DBE,2012.0,Topaz,28.8
372,9,E 33,DBE,2013.0,Topaz,27.3
373,9,C 27,DBE,2022.0,PPKS,2.3000000000000003
374,9,G 25B,DBE,2013.0,Topaz,6.2
375,9,G 28,DBE,2013.0,Topaz,30.0
376,9,C 28,DBE,2022.0,PPKS,3.2
377,9,G 29,DBE,2013.0,Topaz,26.0
378,9,C 29,DBE,0.0,0,0.0
379,9,D 27A,DBE,2015.0,Topaz,6.300000000000001
380,9,D 26,DBE,2021.0,SRIWIJAYA,0.8
381,9,E 27B,DBE,2015.0,Topaz,4.4
