block_code,estate,division,division_lama
I019A,OLE,OLE003,OLE03
I020A,OLE,OLE003,OLE03
I021A,OLE,OLE003,OLE03
J016A,OLE,OLE003,OLE03
H023C,OLE,OLE002,OLE02
J017A,OLE,OLE003,OLE03
J018A,OLE,OLE003,OLE03
J019A,OLE,OLE003,OLE03
J020A,OLE,OLE003,OLE03
L022B,OLE,OLE003,OLE03
L023B,OLE,OLE003,OLE03
I023A,OLE,OLE003,OLE03
I022A,OLE,OLE003,OLE03
I022B,OLE,OLE003,OLE03
J022A,OLE,OLE003,OLE03
J023A,OLE,OLE003,OLE03
I023B,OLE,OLE003,OLE03
K018A,OLE,OLE003,OLE03
I023C,OLE,OLE003,OLE03
K016A,OLE,OLE003,OLE03
K017A,OLE,OLE003,OLE03
K019A,OLE,OLE003,OLE03
K020A,OLE,OLE003,OLE03
K023A,OLE,OLE003,OLE03
J021A,OLE,OLE003,OLE03
L021B,OLE,OLE003,OLE03
J022B,OLE,OLE003,OLE03
K019B,OLE,OLE003,OLE03
K020B,OLE,OLE003,OLE03
K021A,OLE,OLE003,OLE03
K022A,OLE,OLE003,OLE03
K023B,OLE,OLE003,OLE03
L020A,OLE,OLE003,OLE03
L021A,OLE,OLE003,OLE03
L022A,OLE,OLE003,OLE03
L023A,OLE,OLE003,OLE03
H026A,OLE,OLE004,OLE04
L024B,OLE,OLE004,OLE04
K023B,OLE,OLE003,OLE03
H025A,OLE,OLE004,OLE04
H027A,OLE,OLE004,OLE04
H028A,OLE,OLE004,OLE04
H029A,OLE,OLE004,OLE04
H030A,OLE,OLE004,OLE04
I025A,OLE,OLE004,OLE04
I026A,OLE,OLE004,OLE04
I027A,OLE,OLE004,OLE04
H024A,OLE,OLE004,OLE04
I028A,OLE,OLE004,OLE04
H024B,OLE,OLE004,OLE04
I029A,OLE,OLE004,OLE04
I030A,OLE,OLE004,OLE04
H025B,OLE,OLE004,OLE04
J024A,OLE,OLE004,OLE04
H025C,OLE,OLE004,OLE04
J025A,OLE,OLE004,OLE04
J026A,OLE,OLE004,OLE04
J027A,OLE,OLE004,OLE04
K024A,OLE,OLE004,OLE04
K025A,OLE,OLE004,OLE04
I024A,OLE,OLE004,OLE04
I024B,OLE,OLE004,OLE04
J028A,OLE,OLE004,OLE04
J029A,OLE,OLE004,OLE04
J030A,OLE,OLE004,OLE04
K026A,OLE,OLE004,OLE04
K027A,OLE,OLE004,OLE04
K028A,OLE,OLE004,OLE04
K029A,OLE,OLE004,OLE04
K030A,OLE,OLE004,OLE04
L025B,OLE,OLE004,OLE04
L028A,OLE,OLE004,OLE04
L029A,OLE,OLE004,OLE04
L030A,OLE,OLE004,OLE04
K024B,OLE,OLE004,OLE04
L024A,OLE,OLE004,OLE04
F026A,DBE,DBE001,DBE01
F032A,DBE,DBE001,DBE01
K027B,OLE,OLE004,OLE04
F033A,DBE,DBE001,DBE01
G025A,DBE,DBE001,DBE01
G026A,DBE,DBE001,DBE01
G031A,DBE,DBE001,DBE01
