id,block_code,column_59,column_60,nomor_1,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,created_at_gabungan,data_source_gabungan,preprocessing_version,number_col,0_6780462184873949,3808,2010,126_93333333333334,2_938799863291047,34496,101_37684008408796,3_0142610659229665,42662,128_5944055944056,0_07546120263191947,8166,27_21756551031764,3_980585584165905,63458,252_6,3_641010119006645,55264,201_21678321678323,0_33957546515925996,8194,51_38321678321677,4_316289710148346,84802,366_03,4_612661823142521,59996
216,B016H,B016H,2025.0,223.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,223.0,0.0,177.0,2025.0,136.15384615384616, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
217,B017C,B017C,2019.0,205.0,6.36,4.37062937062937,944.0,4.125874125874126,-0.0263670755474025,520.0,2.2341258741258745,4.712571659454364,1298.6539923954372,6.12,6.118881118881118,944.0,5.776223776223776,-1.406309459426755,354.6539923954372,0.3437762237762243,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,205.0,0.2133333333333333,75.0,2019.0,150.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
218,B017D,B017D,2021.0,214.0,1.16,2.4975024975024978,168.0,0.4195804195804196,1.082744416077749,156.0,0.7404195804195803,3.849422111299285,426.0379746835442,1.64,3.496503496503496,216.0,0.7552447552447552,0.3529186147957883,210.03797468354423,0.8847552447552447,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,214.0,0.1428571428571428,14.0,2021.0,140.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
219,B017E,B017E,2022.0,218.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,3.063239713353385,2925.007782101168,8.96,2.4975024975024973,4830.0,12.062937062937062,0.5657372158508878,-1904.992217898833,-3.1029370629370607,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,218.0,0.1626213592233009,412.0,2022.0,142.0689655172414, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
220,B017F,B017F,2023.0,221.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,221.0,0.0054151624548736,554.0,2023.0,142.05128205128204, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
221,B017G,B017G,2025.0,224.0,0.0,13.04847477674912,0.0,0.0,-5.561648410193306,0.0,0.0,8.489968671245864,0.0,0.0,13.869218413812163,0.0,0.0,-5.371838138107516,0.0,0.0,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,224.0,0.0,515.0,2025.0,147.14285714285714, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
222,B024A,B024A,2021.0,215.0,3.62,2.4975024975024978,1176.0,2.937062937062937,0.9534031269016968,-127.0,0.682937062937063,4.15125008937722,1033.423645320197,4.29,3.4965034965034967,1512.0,5.286713286713287,0.6547465928737228,-478.576354679803,-0.9967132867132866,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,215.0,0.0232558139534883,86.0,2021.0,143.33333333333334, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
223,B023A,,2013.8850574712644,310.8095238095238,224.80129720853856,13.04847477674912,21099.57881773399,313.434815428709,-5.561648410193306,5888.839901477832,-88.63351822017043,8.489968671245864,25117.95131844533,236.0504761904762,13.869218413812163,20002.06732348112,314.9908509603582,-5.371838138107516,5115.883994964218,-78.94037476988201,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,225.0,0.0,272.0,2025.0,143.15789473684208, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
224,G005A,G005A,2008.0,226.0,493.22,20.12646482217483,22552.5,453.90209790209786,-8.427420727201042,19606.5,39.31790209790216,13.277083740233456,43593.91047945765,578.8,21.638991137328496,20900.5,452.26573426573424,-8.36190739709504,22693.41047945765,126.53426573426572,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,226.0,0.0940611053896327,2913.0,2008.0,124.48717948717947,5.579705621793063,60409.0,337.0644369068972,5.829108992795376,46528.0,271.21678321678326,-0.24940337100231336,13881.0,65.84765369011387,6.676744566105572,55071.0,367.695,7.909237297490127,44283.0,350.2447552447553,-1.2324927313845544,10788.0,17.450244755244682,6.982652466028646,46289.0,323.22,10.812681148998594,41330.0
225,G006A,G006A,2008.0,227.0,515.93,19.91709782754559,23450.0,467.05594405594405,-8.485519346645122,21682.0,48.8740559440559,13.447563939736256,42972.83899074243,577.88,21.39212826235727,21811.5,466.5944055944056,-7.944564322621016,21161.338990742428,111.2855944055944,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,227.0,0.1099966566365764,2991.0,2008.0,126.20253164556962,5.618107442125943,53356.0,299.7597406820718,5.844132092348927,46266.0,270.3846153846154,-0.22602465022298368,7090.0,29.375125297456407,6.838064176391649,58869.0,402.55,7.865102195874176,44768.0,352.1048951048951,-1.0270380194825268,14101.0,50.44510489510492,7.178356124099397,40806.0,292.92,10.596183477539407,42480.0
